Balance,Balance_Behavior,One_off_ratio,Installment_ratio,Cash_behavior,Full_payment_rate,Tenure,K_Cluster,Anomaly_IsoForest
474.447149,0.2789224861845973,0.0,0.9909698392631389,5.726469374382972,0.0,8,0,-1
656.01301,0.09370275817740323,0.0,0.0,1.6175730810016438,0.25,8,0,-1
0.0,0.0,0.0,0.0,0.6462960803423772,0.0,7,2,-1
57.453201,0.047837802664446295,0.0,0.0,0.7049517151791531,0.166667,8,2,-1
69.405545,0.005338477424813476,0.0,0.0,2799.714934,0.0,12,0,-1
116.654149,0.023326164567086582,0.998898678414097,0.0,273.558033,0.0,12,1,-1
5837.105453,0.738780591444121,0.9348787358611145,0.06483468930989916,3303.1523,0.0,12,0,-1
114.593817,0.11447933766233766,0.0,0.9978767675909805,0.0,0.5,6,2,-1
2187.732265,0.7290010879706764,0.0,0.0,2.7409864507457744,0.2,7,0,-1
1.045584,0.0008705945045795171,0.0,0.0,0.43628653188098326,0.5,9,2,-1
7755.698607,0.7754923114688531,0.47720908215322677,0.5226737469154752,1.5843614177656902,0.0,6,0,-1
282.934373,0.09428003098967011,0.0,0.0,2333.150712,0.0,12,0,-1
918.342234,0.7646479883430475,0.9652114876526547,0.033970536510351486,0.7586226511469365,0.25,6,1,-1
3770.560441,0.6283220198300283,0.2694133007274159,0.7295504942697864,9.070256529014648,0.0,8,0,-1
9601.071318,0.6400287526164923,0.0,0.9958218434026908,4.022648480348853,0.0,6,0,-1
1207.888199,0.30189657560609845,0.7726595998094331,0.22659599809433065,5.9958994563551995,0.0,8,1,-1
675.117139,0.05400505071594272,0.0,0.0,6523.780195,0.0,12,0,-1
76.93561,0.009050183507822608,0.9964028776978417,0.0,0.0,0.333333,6,1,-1
1034.660626,0.6893142078614258,0.9992361222509949,0.0,0.9867023408934944,0.0,6,1,-1
5404.202992,0.7719187247536067,0.6085106382978723,0.3893617021276596,2.989849642407081,0.0,6,0,-1
0.0,0.0,0.0,0.0,310.888779,0.0,12,0,-1
1.979916,0.001319064623584277,0.9876543209876543,0.0,0.0,0.0,8,1,-1
908.354652,0.9074472047952048,0.0,0.995696148052507,5.793412047072637,0.0,7,0,-1
7006.751866,0.7006051260873912,0.996968962172648,0.0,14.378256192273431,0.0,6,0,-1
1546.216153,0.5152336397867378,0.0,0.0,8.830110272889153,0.0,6,0,-1
1.691842,0.0011271432378414392,0.0,0.0,255.26476584294429,0.0,6,0,-1
1560.533094,0.26004550808198634,0.2794809278281839,0.7191867514022675,6.6243027881811125,0.0,9,0,-1
9164.724752,0.9646063311230397,0.6084918253053225,0.39121480686128685,2063.860557,0.0,12,0,-1
147.180819,0.05658624336793541,0.0,0.0,1843.426883,0.0,12,0,-1
8220.740014,0.6323159767710177,0.7697654197013593,0.23004220675538933,1.4632119854873626,0.2,7,1,-1
1254.970145,0.1792558413083845,0.9987018719007191,0.0,2234.780695,0.0,12,0,-1
802.274379,0.13369011481419762,0.0,0.9933774834437086,3714.01114,0.0,12,0,-1
847.013195,0.7052566153205662,0.0,0.0,11.293512257383213,0.0,6,0,-1
128.375213,0.013511758025471002,0.0,0.0,1897.551775,0.0,12,0,-1
914.222213,1.0146750421753608,0.7089778344761601,0.2892503410762062,136.50351,0.0,12,0,-1
645.528692,0.06454641455854414,0.0,0.0,6479.639793,0.0,12,0,-1
51.161976,0.011366802043990225,0.9986444721574581,0.0,0.0,1.0,8,2,-1
31.490163,0.007870573106723318,0.9964457081926427,0.0,900.547414,0.0,12,0,-1
2797.233197,0.6991335158710322,0.5012078008925444,0.49833728351704343,1824.823395,0.0,12,0,-1
253.143106,0.0506184975004999,0.0,0.0,3351.385591,0.0,7,0,-1
448.788728,0.08973979764047191,0.9700419412822049,0.0,545.642707,0.0,12,0,-1
209.178326,0.034857244792534575,0.5428571428571428,0.42857142857142855,0.0,0.0,6,1,-1
7024.269179,0.6885863326144496,0.0,0.9923896499238964,1916.534565,0.0,12,0,-1
6.824905,0.0056826852622814325,0.0,0.0,1150.890874,0.0,12,0,-1
23.150437,0.005786162709322669,0.0,0.0,3947.583198,0.0,12,0,-1
408.732898,0.08173023355328934,0.0,0.0,0.24400940212458758,1.0,12,2,-1
621.386746,0.5173911290591174,0.9944391925707613,0.0,9.415309445465017,0.0,7,1,-1
18.776309,0.01563389592006661,0.9833333333333333,0.0,0.0,0.0,6,1,-1
173.940108,0.010870577338916318,0.9989577905158937,0.0,0.12597529061970592,1.0,10,2,-1
15.173238,0.0013792598854649577,0.9968544556635526,0.0,0.0,1.0,6,2,-1
0.0,0.0,0.0,0.9966777408637874,0.0,0.0,7,2,-1
920.872172,0.7667545145711907,0.4367692514446983,0.5598709850826502,7.843220817697823,0.0,9,0,-1
4240.449485,0.9421127493890247,0.9996427754915409,0.0,0.08970787724560264,0.0,7,1,-1
1.753241,0.0005842189270243252,0.0,0.0,0.5538901023156448,1.0,7,2,-1
793.713659,0.26448305864711763,0.9992354740061162,0.0,0.0,0.0,6,1,-1
3947.749703,0.394735496750325,0.9981012057343587,0.0,8.389106556919241,0.0,6,1,-1
103.393689,0.03445307864045318,0.0,0.0,1820.800715,0.0,12,0,-1
0.126562,0.00010538051623646961,0.0,0.0,0.3909410478678584,0.5,10,2,-1
41.762859,0.0034799482543121404,0.0,0.0,1125.868686,0.0,12,0,-1
2876.009336,0.7188226283429143,0.9934900071609921,0.0,14.917806397678643,0.0,6,0,-1
10.703306,0.010692613386613386,0.0,0.0,575.193978,0.0,12,0,-1
165.808096,0.018421074991667594,0.8383204878893086,0.16066137916289108,0.0,0.25,7,1,-1
99.912238,0.09981242557442557,0.22565645514223193,0.7729759299781181,0.0,0.5,7,2,-1
14.891634,0.004962223925358214,0.0,0.0,116.193463,0.0,9,0,-1
26.247988,0.008746413862045985,0.0,0.0,2861.967408,0.0,12,0,-1
1333.896193,0.8886716808794137,0.0,0.995732149716188,4.597212887728398,0.0,7,0,-1
4626.278301,0.9250706460707859,0.0,0.0,15.588037197909303,0.0,6,0,-1
2097.603234,0.9983832622560687,0.9989628815299572,0.0,0.0,0.0,6,1,-1
163.950974,0.10922783077948035,0.2604584273204559,0.7385565548014695,0.2853753123485311,0.6,9,2,-1
44.525353,0.037073566194837634,0.9006412565746812,0.09755746091216946,292.924759,0.0,7,0,-1
2796.379188,0.31067427930229974,0.0,0.9781181619256017,0.6092936525015051,0.0,7,0,-1
231.983056,0.15455233577614924,0.0,0.0,0.5835054556663278,0.5,7,2,-1
634.521032,0.5283272539550374,0.0,0.0,14.495027319563459,0.0,6,0,-1
4223.867789,0.7678363550263588,0.6350696017871482,0.3645329008562094,3.566232665060358,0.0,6,0,-1
1877.424948,0.3128520159973338,0.6909452271000176,0.303209212603028,0.0,0.0,6,1,-1
0.0,0.0,0.9943512399028414,0.0,0.0,0.0,8,1,-1
657.223335,0.6565667682317683,0.5341700566392866,0.46496257296753424,0.6991003413469394,0.2,7,0,-1
6.121105,0.0005829068660127606,0.9957428693060877,0.0,0.0,0.0,7,1,-1
22.523964,0.012506365352581898,0.0,0.9971206449755254,0.0,1.0,7,2,-1
107.944741,0.043160632147141144,0.9916079221215173,0.0,2.4399563208976836,0.25,8,1,-1
3.847042,0.002562986009327115,0.0,0.994537906925934,0.0,0.5,8,2,-1
5880.218671,0.5112789036605512,0.0,0.0,5.789516919326894,0.0,6,0,-1
1343.165153,0.8948468707528314,0.0,0.9965825985920306,5.270444677702884,0.0,7,0,-1
1958.649839,0.2797671531209827,0.9994319666450814,0.0,14.221495221107368,0.0,7,1,-1
4424.767314,0.6320193278103128,0.0,0.0,8.10680283944434,0.0,6,0,-1
8.187263,0.006060150259067357,0.0,0.0,793.848237,0.0,9,0,-1
1.365808,0.00034136665833541614,0.9836065573770492,0.0,0.0,0.0,7,1,-1
101.025128,0.015539936625134594,0.0,0.0,0.3469079996528019,1.0,12,2,-1
2508.850418,0.41807205765705713,0.0,0.0,0.12957964479571782,0.0,6,0,-1
13.363762,0.013350411588411588,0.0,0.995831596498541,0.0,1.0,7,2,-1
1912.691045,0.1912499795020498,0.0,0.0,0.47771237293191615,0.5,6,0,-1
1384.008582,0.9220576828780812,0.0,0.0,0.5550238998006574,0.0,6,0,-1
6329.586806,0.4335036508458325,0.0,0.0,0.30344019946166884,0.25,7,0,-1
